subject,repeat,scenario,method,accuracy,macro_f1
102,1,axis_loss,concat_PCA,0.6061093247588425,0.5625910907327173
102,1,axis_loss,ALS,0.6322347266881029,0.5896502382613502
102,1,axis_loss,late_fusion,0.867363344051447,0.8567928659753409
102,1,rotation_axis_loss,CWR,0.6410771704180064,0.6525237393209279
102,1,rotation_axis_loss,CWR_frozen,0.6479099678456591,0.6297756924425533
102,1,rotation_axis_loss,plain_GCCA,0.5771704180064309,0.5050876365076516
102,1,rotation_axis_loss,concat_PCA,0.4991961414790997,0.47970379372794686
102,1,rotation_axis_loss,ALS,0.5297427652733119,0.5043604839941259
102,1,rotation_axis_loss,late_fusion,0.622588424437299,0.5616534662024572
102,2,stable,CWR,0.6016881028938906,0.6131172909551478
102,2,stable,CWR_frozen,0.6016881028938906,0.6131172909551478
102,2,stable,plain_GCCA,0.5715434083601286,0.4929619022675101
102,2,stable,concat_PCA,0.6298231511254019,0.5302867002091373
102,2,stable,ALS,0.6579581993569131,0.5590959299946497
102,2,stable,late_fusion,0.8959003215434084,0.8831580343864361
102,2,rotation,CWR,0.6141479099678456,0.6303361844513963
102,2,rotation,CWR_frozen,0.34646302250803857,0.3142093193823003
102,2,rotation,plain_GCCA,0.18006430868167203,0.11092649300528039
102,2,rotation,concat_PCA,0.5779742765273312,0.4997903769894379
102,2,rotation,ALS,0.60008038585209,0.5231689471316255
102,2,rotation,late_fusion,0.6205787781350482,0.5662952622525864
102,2,axis_loss,CWR,0.5518488745980707,0.5532114179390301
102,2,axis_loss,CWR_frozen,0.5518488745980707,0.5532114179390301
102,2,axis_loss,plain_GCCA,0.4995980707395498,0.40225185812015146
102,2,axis_loss,concat_PCA,0.5719453376205788,0.4994265640571469
102,2,axis_loss,ALS,0.5936495176848875,0.5189018721563178
102,2,axis_loss,late_fusion,0.8693729903536977,0.8588044608477512
102,2,rotation_axis_loss,CWR,0.6109324758842444,0.6294255185058685
102,2,rotation_axis_loss,CWR_frozen,0.40635048231511256,0.4102023270403771
102,2,rotation_axis_loss,plain_GCCA,0.24236334405144694,0.16784344326617104
102,2,rotation_axis_loss,concat_PCA,0.4610128617363344,0.3693918496061932
102,2,rotation_axis_loss,ALS,0.4867363344051447,0.40487559837695025
102,2,rotation_axis_loss,late_fusion,0.6728295819935691,0.6366018726471279
103,0,stable,CWR,0.4884735202492212,0.4232730516039476
103,0,stable,CWR_frozen,0.4884735202492212,0.4232730516039476
103,0,stable,plain_GCCA,0.4803738317757009,0.3589373166408604
103,0,stable,concat_PCA,0.6186915887850467,0.44660189076470636
